sigungu,일반,비혈연집단,집단시설집단,외국인,2020,인구감소지수 분류
전라남도 영광군,0.12852065001708593,5.3107706618630557e-05,0.0001770256887287685,0.001669942330341383,22102,인구감소지역
전라남도 영암군,0.13887075195142792,8.26119880734253e-05,0.00019472825760164536,0.010184877958195147,25307,인구감소지역
전라남도 완도군,0.12529878248222234,0.00010621541323726111,7.671113178246635e-05,0.004372534511600582,22006,인구감소지역
전라남도 장성군,0.1020317061269712,0.00012659710651810206,0.00017112483243780953,0.001540123491940286,17583,인구감소지역
전라남도 장흥군,0.09726971510016733,0.00012659710651810206,8.851284436438425e-05,0.0008438224496071299,16646,인구감소지역
전라남도 진도군,0.07907147429884992,4.130599403671265e-05,4.72068503276716e-05,0.0027616007441687886,13883,인구감소지역
전라남도 함평군,0.07988579246700227,0.00012659710651810206,0.0002006291138926043,0.0008615250184800067,13720,인구감소지역
전라남도 해남군,0.17130775898282927,3.5405137745753704e-05,0.00015932311985589166,0.0027793033130416654,29535,인구감소지역
전라남도 화순군,0.14954540098177266,0.00012659710651810206,0.00020652997018356323,0.0013571969469205584,25608,인구감소지역
전라북도 고창군,0.13874093311302682,0.00012659710651810206,0.00014162055098301482,0.0017997611687424796,23845,인구감소지역
전라북도 군산시,0.6598160478861569,0.00014752140727397375,0.0003953573714942497,0.01320611637916613,114147,안심지역
전라북도 김제시,0.20474201072740267,4.72068503276716e-05,0.00028914195825698855,0.0029091221514427625,35247,인구감소지역
전라북도 남원시,0.20047569162903936,0.00012659710651810206,0.00015932311985589166,0.001923679150852618,34331,인구감소지역
전라북도 덕진구,0.7668398784352793,0.0001534222635649327,0.0002950428145479475,0.012191169097121191,132096,안심지역
전라북도 무주군,0.061776064510049244,0.00012659710651810206,6.490941920054844e-05,0.0003481505211665781,10539,인구감소지역
전라북도 부안군,0.13189003895922347,0.00012659710651810206,0.00011801712581917899,0.0012745849588471332,22591,인구감소지역
전라북도 순창군,0.06872727322079888,0.00012659710651810206,0.00010031455694630215,0.0005074736410224697,11750,인구감소지역
전라북도 완산구,0.8309231777550935,5.3107706618630557e-05,0.0004366633655309623,0.010721855880672412,142714,안심지역
전라북도 완주군,0.2274839108727585,7.081027549150741e-05,0.0003186462397117833,0.005971666566450457,39629,안심지역
전라북도 익산시,0.7049989045060296,0.00011211626952822005,0.0005723830602230181,0.010757261018418165,121413,관심지역
전라북도 임실군,0.07250972210330359,0.00012659710651810206,7.081027549150741e-05,0.0004661676469857571,12380,인구감소지역
전라북도 장수군,0.05536773457806783,0.00012659710651810206,5.9008562909589494e-05,0.0006077881979687719,9497,인구감소지역
전라북도 정읍시,0.2712623636953829,5.9008562909589494e-05,0.00035995223374849595,0.00477379273938579,46850,인구감소지역
전라북도 진안군,0.06298574004969583,0.00012659710651810206,7.081027549150741e-05,0.0005192753536043876,10774,인구감소지역
충청남도 계룡시,0.08932126167624563,0.00012659710651810206,4.130599403671265e-05,0.00036585309003945486,15207,안심지역
충청남도 공주시,0.2724130306721199,0.00017112483243780953,0.0003835556589123317,0.004260418242072362,46981,인구감소지역
충청남도 금산군,0.1372362147588323,0.0005310770661863055,0.00018292654501972743,0.00427221995465428,24102,인구감소지역
충청남도 논산시,0.2958630335723908,4.130599403671265e-05,0.0004897710721495929,0.00927024523309651,51800,인구감소지역
충청남도 당진시,0.4077432688489725,0.00010621541323726111,0.00040715908407616756,0.014775744152561209,71690,안심지역
충청남도 동남구,0.6581697089809794,0.00019472825760164536,0.0006372924794235666,0.02316086094201388,115604,안심지역
충청남도 보령시,0.2502966212936058,8.851284436438425e-05,0.0002242325390564401,0.004195508822871814,43181,인구감소지역
충청남도 부여군,0.16718306043544898,2.9504281454794747e-05,0.00021833168276548116,0.0017525543184148081,28671,인구감소지역
충청남도 서북구,0.9687376764304398,0.0002714393893841117,0.0005133744973134286,0.028985006101190362,169214,안심지역
충청남도 서산시,0.429375808011628,0.00010621541323726111,0.00027734024567507067,0.011902027138864202,74847,안심지역
충청남도 서천군,0.13448051487095447,3.5405137745753704e-05,0.0001534222635649327,0.001894174869397823,23143,인구감소지역
충청남도 아산시,0.7553804155182371,0.00028324110196602964,0.0007907147429884994,0.05068245468304642,136783,안심지역
충청남도 예산군,0.19871133559804266,5.3107706618630557e-05,0.0003186462397117833,0.004425642218219212,34488,인구감소지역
충청남도 청양군,0.0798503873292565,0.00012659710651810206,0.00010031455694630215,0.0011329644078641185,13745,인구감소지역
충청남도 태안군,0.16524167871572346,3.5405137745753704e-05,0.0001298188384010969,0.0028914195825698857,28521,인구감소지역
충청남도 홍성군,0.25486978491909895,6.490941920054844e-05,0.00026553853309315274,0.004968520996987436,44090,안심지역
